Series,PBG,PBU,PBU_1,PBU_2,Focus/DR Flag,Pricing/Lead Time PM,Technical PM
20V15,Capacitor,TANTALUM,POLYMER,CM-KO SMD,Yes,Stephen Weisenborn,Rosa Davila
8A226,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
A700D,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A700Q,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A700V,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A700W,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A700X,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A720V,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A798D,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
A798V,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
D107M,Capacitor,TANTALUM,POLYMER,CM-AO CAP,Yes,Stephen Weisenborn,Rosa Davila
FPSA2,Capacitor,TANTALUM,POLYMER,CM-KO LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
FPUA2,Capacitor,TANTALUM,POLYMER,SP-KO AUTO,Yes,Stephen Weisenborn,Rosa Davila
P91B2,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
P91D0,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
P91D1,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
P98D1,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSHB2,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKC0,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKC1,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKD0,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKD1,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKV0,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKV1,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSKY0,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSLB2,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
PSUB2,Capacitor,TANTALUM,POLYMER,PSU - AUTO,No,Stephen Weisenborn,Rosa Davila
SVKA1,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
SVKB2,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
SVKC0,Capacitor,TANTALUM,POLYMER,FPS - LOW ESL,Yes,Stephen Weisenborn,Rosa Davila
